step	loss
0	0.3224048316478729
1	0.07981254905462265
2	0.06087289750576019
3	0.049216192215681076
4	0.04177645221352577
5	0.036531101912260056
6	0.03272534906864166
7	0.029997041448950768
8	0.027894718572497368
