step	dice_multi
0	0.4963368616131862
1	0.4963368616131862
2	0.8210914007321761
3	0.8093612695677872
4	0.8588445916392604
5	0.8611584053439665
6	0.874890999265908
7	0.8771772164367848
8	0.8778449367856671
